date,category,mrr
2022-02-01,Sales,61255
2022-03-01,Sales,51250
2022-04-01,Sales,47530
2022-05-01,Sales,41790
2022-06-01,Sales,37140
2022-07-01,Sales,36590
2022-08-01,Sales,33540
2022-09-01,Sales,44590
2022-10-01,Sales,53950
2022-11-01,Sales,58800
2022-12-01,Sales,62540
2023-01-01,Sales,65709
2023-02-01,Sales,70450
2023-03-01,Sales,61750
2023-04-01,Sales,49750
2023-05-01,Sales,45612
2023-06-01,Sales,38710
2023-07-01,Sales,35980
2023-08-01,Sales,34759
2023-09-01,Sales,37570
2023-10-01,Sales,40950
2023-11-01,Sales,51980
